Cantidad,Nombre Producto,Related Venta,Related Detalle Schedule,Codigo,Presentacion,Nombre Producto (ref),Related Catalogo Producto,Catalogo Producto - Producto,Precio,Kilagramos,Importes,Catalogo Producto - Peso,Calibre,Detalle Json,producto,Venta - Nombre Cliente,Codigo.,Catalogo Producto - Descripcion,Impuesto,Malla,Related Detalle Venta,Detalle Venta records,Agregar Devoluccion,Devoluccion,Devoluccion Ckeck,Nombre Almacen,Fecha Venta,Venta - Tipo de Cliente,Tipo de Venta,Cantidad Cajas,Cantidad Kilogramos,Cantidad Pallets,Catalogo Producto - Cajas Pallet,Venta - Entregado Bodega,Detalle Salidas Venta records,Add Detalle Salidas Venta,Cantidad Pendiente,Existencia,Facturas/Ventas records,Add Facturas/Ventas,Salidas X Facturas,Devolucion,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
315,,230,,,,,89,1RA GEN 20 KG WALMART 45 CJS,"$1,380","6,300","$434,700",20,1RA,"{
""id"":""699"",
""CodigoP"":""89"",
""unitPrice"":1380,
""idVenta"":230,
""KG"":315,
""Existencia"":6300
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022049G,AGUACATE HASS PRIMERA EN CAJA GENÉRICA DE 20 KG  170/210 GR,0,no,,699,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=699&_fid_15=89&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,315,"6,300",7,45,no,699,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=699&z=cq5b2,,6300,699,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=699&z=cq5b2,,,06-06-24 09:47 AM,06-06-24 09:47 AM,699,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
225,,230,,,,,129,1RA B GEN 20 KG WALMART 40 CJS,"$1,320","4,500","$297,000",20,1RA B,"{
""id"":""700"",
""CodigoP"":""129"",
""unitPrice"":1320,
""idVenta"":230,
""KG"":225,
""Existencia"":4500
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022056G,AGUACATE HASS PRIMERA B EN CAJA GENÉRICA DE 20 KG  170/210 GR,0,no,,700,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=700&_fid_15=129&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,225,"4,500",5.625,40,no,700,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=700&z=cq5b2,,4500,700,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=700&z=cq5b2,,,06-06-24 09:49 AM,06-06-24 09:49 AM,700,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
270,,230,,,,,90,EX GEN 19 KG WALMART 45 CJS,"$1,482","5,130","$400,140",19,EX,"{
""id"":""701"",
""CodigoP"":""90"",
""unitPrice"":1482,
""idVenta"":230,
""KG"":270,
""Existencia"":5130
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022063G,AGUACATE HASS EXTRA M EN CAJA GENÉRICA DE 19 KG 210/325 GR,0,no,,701,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=701&_fid_15=90&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,270,"5,130",6,45,no,701,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=701&z=cq5b2,,5130,701,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=701&z=cq5b2,,,06-06-24 09:51 AM,06-06-24 09:51 AM,701,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
90,,230,,,,,102,MD MKTS GEN 20 KG 25/5 WALMART 45 CJS,"$1,250","1,800","$112,500",20,MD,"{
""id"":""702"",
""CodigoP"":""102"",
""unitPrice"":1250,
""idVenta"":230,
""KG"":90,
""Existencia"":1800
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022599,AGUACATE HASS MEDIANO MARKETSIDE EN MALLA 25/5 EN CAJA PLÁSTICO GENÉRICA 20 KG 150/170 GR,0,no,,702,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=702&_fid_15=102&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,90,"1,800",2,45,no,702,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=702&z=cq5b2,,1800,702,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=702&z=cq5b2,,,06-06-24 09:53 AM,06-06-24 09:53 AM,702,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
45,,230,,,,,94,1RA B PLASTICO 5 KG WALMART 100 CJS,$330,225,"$14,850",5,1RA B,"{
""id"":""703"",
""CodigoP"":""94"",
""unitPrice"":330,
""idVenta"":230,
""KG"":45,
""Existencia"":225
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022476,AGUACATE HASS  PRIMERA B BOD EN CAJA DE PLÁSTICO GENÉRICA DE 5 KG  170/210 GR,0,no,,703,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=703&_fid_15=94&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,45,225,0.45,100,no,703,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=703&z=cq5b2,,225,703,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=703&z=cq5b2,,,06-06-24 09:54 AM,06-06-24 09:54 AM,703,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
135,,230,,,,,88,3RA BOD BD AU GEN 20 KG 25/5 WALMART 45 CJS,$950,"2,700","$128,250",20,3RA B,"{
""id"":""704"",
""CodigoP"":""88"",
""unitPrice"":950,
""idVenta"":230,
""KG"":135,
""Existencia"":2700
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022629,AGUACATE HASS TERCERA B AURRERA EN MALLA 25/5 EN CAJA PLÁSTICO GENÉRICA 20 KG 120/150 GR,0,no,,704,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=704&_fid_15=88&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,135,"2,700",3,45,no,704,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=704&z=cq5b2,,2700,704,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=704&z=cq5b2,,,06-06-24 09:56 AM,06-06-24 09:56 AM,704,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
90,,230,,,,,109,EX SPCL GEN 19 KG 20/4 WALMART 45 CJS,"$1,640","1,710","$147,600",19,EX,"{
""id"":""705"",
""CodigoP"":""109"",
""unitPrice"":1640,
""idVenta"":230,
""KG"":90,
""Existencia"":1710
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022650,AGUACATE HASS EXTRA SPECIAL EN MALLA 20/4 EN CAJA PLÁSTICO GENÉRICA 19 KG 230/260 GR,0,no,,705,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=705&_fid_15=109&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 09:42 AM,Nacional,Cajas,90,"1,710",2,45,no,705,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=705&z=cq5b2,,1710,705,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=705&z=cq5b2,,,06-06-24 09:57 AM,06-06-24 09:57 AM,705,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
80,,231,,,,,74,36S PREMIUM 11.3 KG JBR,$53,904,"$4,240",11.3,36,"{
""id"":""706"",
""CodigoP"":""74"",
""unitPrice"":53,
""idVenta"":231,
""KG"":80,
""Existencia"":904
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",JBRP361,AGUACATE JBR PREMIUM CLASE 1 DE 11.3 KG CAL 36'S,0,no,,706,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=706&_fid_15=74&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,80,904,1,80,no,706,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=706&z=cq5b2,,904,706,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=706&z=cq5b2,,,06-06-24 11:17 AM,06-06-24 11:17 AM,706,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
480,,231,,,,,76,48S PREMIUM 11.3 KG JBR,$52,"5,424","$24,960",11.3,48,"{
""id"":""707"",
""CodigoP"":""76"",
""unitPrice"":52,
""idVenta"":231,
""KG"":480,
""Existencia"":5424
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",JBRP481,AGUACATE JBR PREMIUM CLASE 1 DE 11.3 KG CAL 48'S,0,no,,707,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=707&_fid_15=76&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,480,"5,424",6,80,no,707,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=707&z=cq5b2,,5424,707,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=707&z=cq5b2,,,06-06-24 11:19 AM,06-06-24 11:22 AM,707,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
480,,231,,,,,77,60S PREMIUM 11.3 KG JBR,$46.5,"5,424","$22,320",11.3,60,"{
""id"":""708"",
""CodigoP"":""77"",
""unitPrice"":46.5,
""idVenta"":231,
""KG"":480,
""Existencia"":5424
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",JBRP601,AGUACATE JBR PREMIUM CLASE 1 DE 11.3 KG CAL 60'S,0,no,,708,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=708&_fid_15=77&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,480,"5,424",6,80,no,708,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=708&z=cq5b2,,5424,708,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=708&z=cq5b2,,,06-06-24 11:21 AM,06-06-24 11:22 AM,708,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
160,,231,,,,,82,70S PREMIUM 11.3 KG JBR,$35.5,"1,808","$5,680",11.3,70,"{
""id"":""709"",
""CodigoP"":""82"",
""unitPrice"":35.5,
""idVenta"":231,
""KG"":160,
""Existencia"":1808
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",JBRP701,AGUACATE JBR PREMIUM CLASE 1 DE 11.3 KG CAL 70'S,0,no,,709,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=709&_fid_15=82&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,160,"1,808",2,80,no,709,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=709&z=cq5b2,,1808,709,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=709&z=cq5b2,,,06-06-24 11:27 AM,06-06-24 11:27 AM,709,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
80,,231,,,,,264,84S PREMIUM 11.3 KG JBR,$30.5,904,"$2,440",11.3,84,"{
""id"":""710"",
""CodigoP"":""264"",
""unitPrice"":30.5,
""idVenta"":231,
""KG"":80,
""Existencia"":904
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",JBRP841,AGUACATE JBR PREMIUM CLASE 1 DE 11.3 KG CAL 84'S,0,no,,710,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=710&_fid_15=264&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,80,904,1,80,no,710,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=710&z=cq5b2,,904,710,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=710&z=cq5b2,,,06-06-24 11:28 AM,06-06-24 11:28 AM,710,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
240,,231,,,,,68,48S DELICIOSO 11.3 KG JBR,$45,"2,712","$10,800",11.3,48 C2,"{
""id"":""711"",
""CodigoP"":""68"",
""unitPrice"":45,
""idVenta"":231,
""KG"":240,
""Existencia"":2712
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",DL482,AGUACATE DELICIOSO AVOCADO CLASE 2 DE 11.3 KG CAL. 48'S,0,no,,711,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=711&_fid_15=68&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,240,"2,712",3,80,no,711,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=711&z=cq5b2,,2712,711,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=711&z=cq5b2,,,06-06-24 11:30 AM,06-06-24 11:30 AM,711,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
80,,231,,,,,65,60S DELICIOSO 11.3 KG JBR,$38,904,"$3,040",11.3,60 C2,"{
""id"":""712"",
""CodigoP"":""65"",
""unitPrice"":38,
""idVenta"":231,
""KG"":80,
""Existencia"":904
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",DL602,AGUACATE DELICIOSO AVOCADO CLASE 2 DE 11.3 KG CAL. 60'S,0,no,,712,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=712&_fid_15=65&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,80,904,1,80,no,712,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=712&z=cq5b2,,904,712,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=712&z=cq5b2,,,06-06-24 11:31 AM,06-06-24 11:31 AM,712,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
100,,231,,,,,265,60S RPC 6408 8.6 KG 15X3 ORGÁNICO,$39.5,860,"$3,950",8.6,60,"{
""id"":""713"",
""CodigoP"":""265"",
""unitPrice"":39.5,
""idVenta"":231,
""KG"":100,
""Existencia"":860
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
","TERRA EXPORTS, LLC",NR60115/3O,AGUACATE CLASE 1 DE 8.6 KG CAL 60'S EN MALLA 15/3 ORGÁNICO,0,no,,713,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=713&_fid_15=265&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 11:12 AM,Exportacion,Cajas,100,860,1,100,no,713,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=713&z=cq5b2,,860,713,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=713&z=cq5b2,,,06-06-24 12:50 PM,06-06-24 12:50 PM,713,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
37,,232,,,,,226,SEX PLASTICO 10 KG WALMART,$900,370,"$33,300",10,SEX,"{
""id"":""714"",
""CodigoP"":""226"",
""unitPrice"":900,
""idVenta"":232,
""KG"":37,
""Existencia"":370
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",NUEVA WAL MART DE MEXICO,07503017022469,AGUACATE HASS SUPER EXTRA SP EN CAJA PLASTICO RPC 10 KG (270>GR) ED,0,no,,714,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=714&_fid_15=226&_fid_34=1&dfid=11&z=cq5b2,,no,Ciudad de Mexico,06-06-24 12:00 AM,Nacional,Cajas,37,370,0.35576923076923,104,no,714,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=714&z=cq5b2,,370,714,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=714&z=cq5b2,,,06-06-24 01:28 PM,06-06-24 01:28 PM,714,Rubén Reyes <64889773.dwqb>,Rubén Reyes <64889773.dwqb>
600,,233,,,,,227,3RA GEN 15.75 KG 25/5 10 CJS,$31,378,"$18,600",0.63,3RA,"{
""id"":""715"",
""CodigoP"":""227"",
""unitPrice"":31,
""idVenta"":233,
""KG"":600,
""Existencia"":378
}","[Concepto|]
ClaveProdServ=86101600
NoIdentificacion=
Cantidad=10
ClaveUnidad=E48
Unidad=
Descripcion=Horas de capacitacion tema ""nueva versión CFDI"" 
ValorUnitario=300.00
Importe=3000.00
Descuento=
ObjetoImp=02
Impuestos.Traslados.Base=[3000.00]
Impuestos.Traslados.Impuesto=[002]
Impuestos.Traslados.TipoFactor=[Tasa]
Impuestos.Traslados.TasaOCuota=[0.160000]
Impuestos.Traslados.Importe=[480.00]
",ABASTOS JB SA DE CV (IZTAPALAPA),ATM25/5,AGUACATE TERCERA PLASTICO 15.75 KG MALLA 25/5,0,no,,715,https://aortizdemontellanoarevalo.quickbase.com/db/btvkvvvwh?a=API_GenAddRecordForm&_fid_30=715&_fid_15=227&_fid_34=1&dfid=11&z=cq5b2,,no,,06-06-24 03:12 PM,Nacional,,,,,10,no,715,https://aortizdemontellanoarevalo.quickbase.com/db/bt8987sb3?a=API_GenAddRecordForm&_fid_12=715&z=cq5b2,,378,715,https://aortizdemontellanoarevalo.quickbase.com/db/btze8cx7m?a=API_GenAddRecordForm&_fid_21=715&z=cq5b2,,,06-06-24 03:26 PM,06-06-24 03:26 PM,715,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>,EDGAR ADRIAN VARGAS AGUILAR <66393924.bqwf>
